hadoop.hdfs.configuration.version	1140
dfs.namenode.rpc-address	17000
dfs.namenode.rpc-bind-host	4340
dfs.namenode.servicerpc-address	6470
dfs.namenode.servicerpc-bind-host	791
dfs.namenode.lifeline.rpc-address	253
dfs.namenode.lifeline.rpc-bind-host	256
dfs.namenode.secondary.http-address	10700
dfs.namenode.secondary.https-address	1210
dfs.datanode.address	5390
dfs.datanode.http.address	4680
dfs.datanode.ipc.address	3620
dfs.datanode.http.internal-proxy.port	9
dfs.datanode.handler.count	5380
dfs.namenode.http-address	11700
dfs.namenode.http-bind-host	609
dfs.namenode.heartbeat.recheck-interval	3850
dfs.http.policy	2220
dfs.client.https.need-auth	708
dfs.client.cached.conn.retry	261
dfs.https.server.keystore.resource	725
dfs.client.https.keystore.resource	412
dfs.datanode.https.address	1620
dfs.namenode.https-address	1930
dfs.namenode.https-bind-host	1890
dfs.datanode.dns.interface	2720
dfs.datanode.dns.nameserver	1030
dfs.namenode.backup.address	1090
dfs.namenode.backup.http-address	911
dfs.namenode.redundancy.considerLoad	757
dfs.namenode.redundancy.considerLoad.factor	659
dfs.namenode.read.considerLoad	5
dfs.datanode.httpserver.filter.handlers	6
dfs.default.chunk.view.size	908
dfs.datanode.du.reserved.calculator	160
dfs.datanode.du.reserved	7860
dfs.datanode.du.reserved.pct	189
dfs.namenode.name.dir	23900
dfs.namenode.name.dir.restore	989
dfs.namenode.fs-limits.max-component-length	976
dfs.namenode.fs-limits.max-directory-items	3510
dfs.namenode.fs-limits.min-block-size	1620
dfs.namenode.fs-limits.max-blocks-per-file	1160
dfs.namenode.edits.dir	2330
dfs.namenode.edits.dir.required	202
dfs.namenode.shared.edits.dir	8160
dfs.namenode.edits.journal-plugin.qjournal	341
dfs.permissions.enabled	4100
dfs.permissions.ContentSummary.subAccess	294
dfs.permissions.superusergroup	2000
dfs.cluster.administrators	1220
dfs.namenode.acls.enabled	3810
dfs.namenode.posix.acl.inheritance.enabled	378
dfs.namenode.lazypersist.file.scrub.interval.sec	133
dfs.block.access.token.enable	2390
dfs.block.access.key.update.interval	1080
dfs.block.access.token.lifetime	4290
dfs.block.access.token.protobuf.enable	10
dfs.datanode.data.dir	37500
dfs.datanode.data.dir.perm	1780
dfs.replication	277000
dfs.replication.max	1970
dfs.namenode.replication.min	1820
dfs.namenode.maintenance.replication.min	661
dfs.namenode.safemode.replication.min	10
dfs.namenode.max-corrupt-file-blocks-returned	7
dfs.blocksize	22600
dfs.client.block.write.retries	912
dfs.client.block.write.replace-datanode-on-failure.enable	1500
dfs.client.block.write.replace-datanode-on-failure.policy	901
dfs.client.block.write.replace-datanode-on-failure.best-effort	353
dfs.client.block.write.replace-datanode-on-failure.min-replication	272
dfs.blockreport.intervalMsec	3020
dfs.blockreport.initialDelay	1230
dfs.blockreport.split.threshold	643
dfs.namenode.max.full.block.report.leases	134
dfs.namenode.full.block.report.lease.length.ms	122
dfs.datanode.directoryscan.interval	1120
dfs.datanode.directoryscan.threads	559
dfs.datanode.directoryscan.throttle.limit.ms.per.sec	236
dfs.heartbeat.interval	7260
dfs.datanode.lifeline.interval.seconds	125
dfs.namenode.handler.count	4680
dfs.namenode.service.handler.count	818
dfs.namenode.lifeline.handler.ratio	118
dfs.namenode.lifeline.handler.count	812
dfs.namenode.safemode.threshold-pct	5380
dfs.namenode.safemode.min.datanodes	2130
dfs.namenode.safemode.extension	1920
dfs.namenode.resource.check.interval	231
dfs.namenode.resource.du.reserved	604
dfs.namenode.resource.checked.volumes	181
dfs.namenode.resource.checked.volumes.minimum	381
dfs.datanode.balance.bandwidthPerSec	2100
dfs.hosts	11800
dfs.hosts.exclude	20400
dfs.namenode.max.objects	444
dfs.namenode.datanode.registration.ip-hostname-check	2840
dfs.namenode.decommission.interval	1350
dfs.namenode.decommission.blocks.per.interval	875
dfs.namenode.decommission.max.concurrent.tracked.nodes	162
dfs.namenode.decommission.monitor.class	6
dfs.namenode.decommission.backoff.monitor.pending.limit	6
